sm_id,sm_name,sm_price,sm_ingredients,sm_img,sm_type
29,Original High Protein Pineapple,10.59,"pineapples,almonds,dairywheyblend,wheyprotein",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-fitness-original-high-protein-lemon.png,strawberry
30,Peanut Power Plus,10.59,"bananas,peanutbutter,dates,nonfatmilk,proteinblend",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-fitness-original-high-protein-pineapple.png,strawberry
31,Peanut Power Plus Chocolate,10.59,"bananas,peanutbutter,dates,nonfatmilk,proteinblend,cocoa",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-fitness-peanut-power-plus-original.png,strawberry
32,Peanut Power Plus Strawberry,10.59,"bananas,strawberries,peanutbutter,dates,nonfatmilk,proteinblend,turbinado",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-fitness-peanut-power-plus-chocolate.png,strawberry
33,Power Punch Plus,10.59,"bananas,strawberries,nutrientblend,turbinado",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-fitness-peanut-power-plus-strawberry.png,strawberry
34,Stretch & Flex Pineapple Kale,10.59,"bananaspineapples,dates,coconutwater,sunwarriororganicplant-basedprotein,jointhealthenhancerwithcollagen,kale",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-fitness-power-punch-plus.png,strawberry
35,Stretch & Flex Tart Cherry,10.59,"bananas,tartcherries,appleblueberryjuiceblend,dates,coconutwater,sunwarriororganicplant-basedprotein,jointhealthenhancerwithcollagen",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-fitness-stretch-and-flex-pineapple-kale-cup-only.png,strawberry
36,The Activator Recovery Pineapple Spinach,10.59,"pineapples,pearpassionfruitjuiceblend,coconutwater,proteinblend,gladiatorproteinvanilla,spinach ",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-fitness-stretch-and-flex-tart-cherry-cup-only.png,strawberry
37,The Activator Recovery Blueberry Strawberry,10.59,"strawberries,blueberries,appleblueberryjuiceblend,coconutwater,gladiatorproteinstrawberry",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/Activator_Pineapple-Spinach_Smoothie-Only.png,strawberry
38,The Activator Recovery Blueberry Tart Cherry,10.59,"tartcherries,blueberries,appleblueberryjuiceblend,coconutwater,proteinblend,gladiatorproteinvanilla",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-fitness-the-activator-strawberry-blueberry.png,strawberry
39,The Activator Recovery Chocolate,10.59,"bananas,coconut water,gladiatorproteinchocolate,proteinblend,cocoa",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/Activator_Blueberry-Tart-Chery_Smoothie-Only.png,strawberry
40,The Activator Recovery Pineapple,10.59,"bananas,pineapples,applejuiceblend,coconutwater,gladiatorproteinvanilla",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-fitness-the-activator-chocolate.png,strawberry
41,The Activator Recovery Strawberry Banana,10.59,"bananas,strawberries,applejuiceblend,coconutwater,gladiatorproteinvanilla,proteinblend",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-fitness-the-activator-pineapple.png,strawberry
42,The Hulk Chocolate,10.59,"bananas,cocoa,hulkblend,turbinado,buttepecanicecream",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/Activator_Strawberry-Banana_Smoothie-Only.png,strawberry
43,The Hulk Strawberry,10.59,"bananas,strawberries,turbinado,hulkblend,butterpecanicecream",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-fitness-hulk-chocolate.png,strawberry
44,The Hulk Vanilla,10.59,"bananas,turbinado,hulkblend,butterpecanicecream",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-fitness-hulk-strawberry.png,strawberry
45,Keto Champ Berry,10.59,"blueberries,raspberries,ketoproteinblend,almondbutter,cocoa,califiafarmsalmondmilk",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-fitness-hulk-vanilla.png,strawberry
46,Keto Champ Chocolate,10.59,"califiafarmsalmondmilk,almondbutter,ketoproteinblend,proteinblend,cocoa,steviaplant-basedsweetener",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-fitness-keto-champ-berry.png,blueberry
47,Lean1 Chocolate,10.59,"bananas,almonds,lean1chocolateprotein",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-fitness-blends-keto-champ-chocolate.png,blueberry
48,Lean1 Pineapple Mango,10.59,"pineapples,mangoes,applepineapplejuiceblend,lean1vanillaprotein",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-lean1-chocolate.png,blueberry
49,Lean1 Strawberry,10.59,"strawberries,lean1vanillaprotein,steviaplant-basedsweetener",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-lean1-pineapple-mango.png,blueberry
50,Lean1 Vanilla,10.59,"bananas,almonds,lean1vanillaprotein",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-lean1-strawberry.png,blueberry
51,MangoFest,10.59,"mangoes,applepineapplejuiceblendpapayajuiceblend",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-lean1-vanilla.png,blueberry
52,Metabolism Boost Banana Passion Fruit,10.59,"bananas,pearpassionfruitjuiceblend,papayajuiceblend,proteinblend,gladiatorproteinvanilla,fiberblendenhancer,metabolismboostenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-mangofest.png,blueberry
53,Metabolism Boost Mango Ginger,10.59,"mangoes,bananas,spinach,whitegrapelemonjuiceblend,gladiatorproteinvanilla,proteinblend,ginger,metabolismboostenhancer,fiberblendenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim_metabolism-boost-banana-passionfruit.png,blueberry
54,Metabolism Boost Strawberry Pineapple,10.59,"pineapples,strawberries,kiwiapplejuiceblend,gladiatorproteinvanilla,proteinblend,metabolismboostenhancer,fiberblendenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-metabolism-boost-mango-ginger.png,blueberry
55,Slim-N-Trim Blueberry,10.59,"appleblueberryjuiceblend,blueberries,proteinblend,lean1vanillaprotein,gladiatorproteinvanilla,steviaplant-basedsweetener,fiberblendenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-metabolism-boost-strawberry-pineapple.png,blueberry
56,Slim-N-Trim Chocolate,10.59,"bananas,nonfatmilk,proteinblend,lean1chocolateprotein,gladiatorproteinchocolate,cocoa,fiberblendenhancer,steviaplant-basedsweetener",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-slim-n-trim-blueberry.png,blueberry
57,Slim-N-Trim Strawberry,10.59,"strawberries,gladiatorproteinvanilla,lean1vanillaprotein,proteinblend,steviaplant-basedsweetener,fiberblendenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-slim-n-trim-chocolate.png,blueberry
58,Slim-N-Trim Vanilla,10.59,"bananas,proteinblend,lean1vanillaprotein,gladiatorproteinvanilla,fiberblendenhancer,steviaplant-basedsweetener",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-slim-n-trim-strawberry.png,blueberry
59,Slim-N-Trim Veggie,10.59,"kale,spinach,ginger,mangoes,bananas,gladiatorproteinvanilla,lean1vanillaprotein,proteinblend,fiberblendenhancer,applepineapplejuiceblend",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-slim-n-trim-vanilla.png,blueberry
60,The Shredder Chocolate,10.59,"cocoa,gladiatorproteinchocolate,proteinblend,dietdownenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-slim-n-trim-veggie.png,blueberry
61,The Shredder Strawberry,10.59,"strawberries,pearjuiceblend,gladiatorproteinstrawberry,proteinblend,dietdownenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-the-shredder-chocolate.png,blueberry
62,The Shredder Vanilla,10.59,"gladiatorproteinvanilla,proteinblend,dietdownenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-the-shredder-strawberry.png,blueberry
63,Blueberry Heaven,10.59,"bananas,blueberries,appleblueberryjuiceblend,whitegrapelemonjuiceblend,proteinblend",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-slim-the-shredder-vanilla.png,blueberry
64,Daily Warrior,10.59,"bananas,blueberries,appleblueberryjuiceblend,dates,peanutbutter,almonds,steviaplant-basedsweetener,spinach",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-wellness-blueberry-heaven.png,greens
65,Gut Health Greek Yogurt Pineapple Mango,10.59,"pineapples,mangoes,greeknonfatyogurt,applepineapplejuiceblend,pearpassionfruitjuiceblend,proteinblend,guthealthenhancer",https://cdn.smoothieking.com/images/smoothies/cups/_productSmall/sk-wellness-daily-warrior.png,greens
